"participant","elected to share data?","age","sex","first name","last name","e-mail","date","MRT SDT-style","PSAS average","PVAS average","SBSOD average","gender","ethnic category","racial category","education","handedness","first language","prescription meds","head injuries"
"Utah_132","true","","","","","","2017-09-08 13:33:50 -0700","38","4.625","","","","","","","","","",""
"Utah_133","true","","","","","","2017-09-08 14:13:02 -0700","74","2.8125","","","","","","","","","",""
"Utah_134","true","","","","","","2017-09-08 14:27:11 -0700","32","3.0625","","","","","","","","","",""
"Utah_135","true","","","","","","2017-09-11 12:34:37 -0700","22","4.8125","","","","","","","","","",""
"Utah_136","true","","","","","","2017-09-15 09:34:41 -0700","42","2.1875","","","","","","","","","",""
"UTah_137","true","","","","","","2017-09-15 10:13:07 -0700","20","4.125","","","","","","","","","",""
"Utah_138","true","","","","","","2017-09-15 10:50:21 -0700","62","2.75","","","","","","","","","",""
"Utah_139","true","","","","","","2017-09-15 13:07:56 -0700","48","3.5","","","","","","","","","",""
"Utah_144","true","","","","","","2017-09-20 14:42:01 -0700","52","4.1875","","","","","","","","","",""
"Utah_145","true","","","","","","2017-09-21 14:40:54 -0700","64","5.3125","","","","","","","","","",""
"Utah_146","true","","","","","","2017-09-22 09:30:24 -0700","20","4.6875","","","","","","","","","",""
"Utah_147","true","","","","","","2017-09-22 10:23:16 -0700","36","3.5625","","","","","","","","","",""
"Utah_148","true","","","","","","2017-09-22 13:24:27 -0700","8","3.375","","","","","","","","","",""
"Utah_149","true","","","","","","2017-09-25 06:12:58 -0700","48","3.1875","","","","","","","","","",""
"Utah_150","true","","","","","","2017-09-25 06:57:22 -0700","48","4.0","","","","","","","","","",""
"Utah_151","true","","","","","","2017-09-25 07:41:43 -0700","64","2.75","","","","","","","","","",""
"Utah_152","true","","","","","","2017-09-27 13:16:00 -0700","50","4.9375","","","","","","","","","",""
"Utah_153","true","","","","","","2017-09-27 14:17:34 -0700","54","4.375","","","","","","","","","",""
"Utah_154","true","","","","","","2017-09-29 08:28:37 -0700","-24","3.875","","","","","","","","","",""
"utah_155","true","","","","","","2017-09-29 12:55:39 -0700","38","3.625","","","","","","","","","",""
"Utah_156","true","","","","","","2017-10-02 06:12:28 -0700","28","4.125","","","","","","","","","",""
"Utah_157","true","","","","","","2017-10-02 09:06:59 -0700","52","5.6875","","","","","","","","","",""
"Utah_158","true","","","","","","2017-10-03 08:31:02 -0700","8","5.5625","","","","","","","","","",""
"Utah_159","true","","","","","","2017-10-03 13:50:52 -0700","30","5.125","","","","","","","","","",""
"Utah_160","true","","","","","","2017-10-04 14:45:49 -0700","26","2.6875","","","","","","","","","",""
"Utah_161","true","","","","","","2017-10-04 15:35:23 -0700","42","4.125","","","","","","","","","",""
"Utah_162","true","","","","","","2017-10-06 08:20:34 -0700","66","1.625","","","","","","","","","",""
"Utah_163","true","","","","","","2017-10-06 09:33:56 -0700","36","3.875","","","","","","","","","",""
"Utah_164","true","","","","","","2017-10-06 10:01:35 -0700","42","4.25","","","","","","","","","",""
"Utah_165","true","","","","","","2017-10-06 12:36:52 -0700","32","4.9375","","","","","","","","","",""
"Utah_166","true","","","","","","2017-10-06 13:54:27 -0700","74","4.9375","","","","","","","","","",""
"Utah_167","true","","","","","","2017-10-06 14:41:41 -0700","24","4.5625","","","","","","","","","",""
"Utah_169","true","","","","","","2017-10-10 08:18:59 -0700","24","4.5625","","","","","","","","","",""
"Utah_170","true","","","","","","2017-10-10 15:20:32 -0700","80","6.25","","","","","","","","","",""
"Utah_171","true","","","","","","2017-10-16 09:16:35 -0700","24","3.75","","","","","","","","","",""
"Utah_172","true","","","","","","2017-10-16 10:05:12 -0700","26","4.5625","","","","","","","","","",""
"Utah_173","true","","","","","","2017-10-16 11:09:30 -0700","26","5.25","","","","","","","","","",""
"Utah_174","true","","","","","","2017-10-16 14:19:32 -0700","10","4.1875","","","","","","","","","",""
"Utah_175","true","","","","","","2017-10-17 07:08:06 -0700","22","4.75","","","","","","","","","",""
"Utah_176","true","","","","","","2017-10-17 08:03:48 -0700","40","5.4375","","","","","","","","","",""
"Utah_177","true","","","","","","2017-10-17 08:09:42 -0700","34","3.9375","","","","","","","","","",""
"Utah_178","true","","","","","","2017-10-17 15:30:01 -0700","12","3.4375","","","","","","","","","",""
"Utah_179","true","","","","","","2017-10-17 15:35:00 -0700","56","5.3125","","","","","","","","","",""
"Utah_180","true","","","","","","2017-10-17 16:41:42 -0700","32","5.875","","","","","","","","","",""
"Utah_181","true","","","","","","2017-10-18 15:40:38 -0700","24","4.0625","","","","","","","","","",""
"Utah_183","true","","","","","","2017-10-19 15:52:35 -0700","48","4.75","","","","","","","","","",""
"Utah_184","true","","","","","","2017-10-20 08:45:03 -0700","60","4.9375","","","","","","","","","",""
"Utah_185","true","","","","","","2017-10-20 09:05:22 -0700","44","3.3125","","","","","","","","","",""
"Utah_186","true","","","","","","2017-10-20 09:51:04 -0700","18","5.1875","","","","","","","","","",""
"Utah_187","true","","","","","","2017-10-20 09:56:30 -0700","32","3.9375","","","","","","","","","",""
"Utah_188","true","","","","","","2017-10-20 10:52:58 -0700","36","3.75","","","","","","","","","",""
"Utah_189","true","","","","","","2017-10-20 11:13:15 -0700","34","4.625","","","","","","","","","",""
"Utah_190","true","","","","","","2017-10-20 12:08:27 -0700","4","4.5","","","","","","","","","",""
"Utah_191","true","","","","","","2017-10-20 12:19:21 -0700","26","4.3125","","","","","","","","","",""
"Utah_192","true","","","","","","2017-10-23 10:14:12 -0700","-12","4.125","","","","","","","","","",""
"Utah_193","true","","","","","","2017-10-23 14:33:29 -0700","36","4.25","","","","","","","","","",""
"Utah_194","true","","","","","","2017-10-26 14:42:00 -0700","18","4.125","","","","","","","","","",""
"Utah_195","true","","","","","","2017-10-27 08:21:56 -0700","16","3.625","","","","","","","","","",""
"Utah_196","true","","","","","","2017-10-27 11:03:14 -0700","18","4.1875","","","","","","","","","",""
"Utah_197","true","","","","","","2017-11-02 08:34:29 -0700","12","3.75","","","","","","","","","",""
"Utah_198","true","","","","","","2017-11-02 09:07:40 -0700","16","5.75","","","","","","","","","",""
"Utah_199","true","","","","","","2017-11-02 15:39:15 -0700","-6","4.875","","","","","","","","","",""
"Utah_200","true","","","","","","2017-11-02 16:26:30 -0700","46","3.4375","","","","","","","","","",""
"Utah_201","true","","","","","","2017-11-03 13:05:02 -0700","66","4.6875","","","","","","","","","",""
"Utah_202","true","","","","","","2017-11-06 15:38:41 -0800","4","3.3125","","","","","","","","","",""
"Utah_203","true","","","","","","2017-11-07 08:02:46 -0800","28","2.875","","","","","","","","","",""
"Utah_204","true","","","","","","2017-11-07 15:44:18 -0800","22","3.6875","","","","","","","","","",""
"Utah_205","true","","","","","","2017-11-08 14:38:01 -0800","32","4.25","","","","","","","","","",""
"Utah_206","true","","","","","","2017-11-09 13:45:41 -0800","18","4.1875","","","","","","","","","",""
"Utah_207","true","","","","","","2017-11-09 14:30:29 -0800","32","5.125","","","","","","","","","",""
"Utah_208","true","","","","","","2017-11-10 08:17:20 -0800","22","4.6875","","","","","","","","","",""
"Utah_209","true","","","","","","2017-11-10 09:09:10 -0800","18","4.125","","","","","","","","","",""
"Utah_210","true","","","","","","2017-11-10 09:37:56 -0800","40","4.625","","","","","","","","","",""
"Utah_211","true","","","","","","2017-11-10 10:49:57 -0800","30","5.0","","","","","","","","","",""
"Utah_212","true","","","","","","2017-11-10 10:48:39 -0800","48","2.25","","","","","","","","","",""
"Utah_213","true","","","","","","2017-11-10 11:40:03 -0800","24","5.0","","","","","","","","","",""
"Utah_214","true","","","","","","2017-11-10 12:05:52 -0800","36","4.125","","","","","","","","","",""
"Utah_215","true","","","","","","2017-11-14 14:46:07 -0800","42","3.625","","","","","","","","","",""
"Utah_217","true","","","","","","2017-11-16 08:05:24 -0800","-4","4.0625","","","","","","","","","",""
"Utah_218","true","","","","","","2017-11-16 15:38:22 -0800","20","3.4375","","","","","","","","","",""
"Utah_219","true","","","","","","2017-11-16 16:39:31 -0800","18","4.3125","","","","","","","","","",""
"Utah_221","true","","","","","","2017-11-17 10:01:00 -0800","28","4.3125","","","","","","","","","",""
"Utah_222","true","","","","","","2017-11-17 10:50:46 -0800","26","3.75","","","","","","","","","",""
"Utah_223","true","","","","","","2017-11-17 11:02:08 -0800","50","4.3125","","","","","","","","","",""
"Utah_224","true","","","","","","2017-11-17 11:47:28 -0800","-10","3.8125","","","","","","","","","",""
"Utah_225","true","","","","","","2017-11-20 06:19:59 -0800","52","5.0625","","","","","","","","","",""
"Utah_2256","true","","","","","","2017-11-30 15:33:02 -0800","64","4.125","","","","","","","","","",""
"Utah_226","true","","","","","","2017-11-20 15:45:00 -0800","32","4.875","","","","","","","","","",""
"Utah_227","true","","","","","","2017-11-20 15:47:38 -0800","28","5.375","","","","","","","","","",""
"Utah_228","true","","","","","","2017-11-20 16:47:29 -0800","56","4.1875","","","","","","","","","",""
"Utah_229","true","","","","","","2017-11-21 06:13:39 -0800","26","5.3125","","","","","","","","","",""
"Utah_230","true","","","","","","2017-11-21 06:15:36 -0800","0","4.3125","","","","","","","","","",""
"Utah_231","true","","","","","","2017-11-21 08:20:29 -0800","22","5.1875","","","","","","","","","",""
"Utah_232","true","","","","","","2017-11-21 15:43:35 -0800","48","5.125","","","","","","","","","",""
"Utah_233","true","","","","","","2017-11-21 16:34:36 -0800","72","5.0","","","","","","","","","",""
"Utah_234","true","","","","","","2017-11-22 06:18:54 -0800","10","3.875","","","","","","","","","",""
"Utah_235","true","","","","","","2017-11-22 06:55:37 -0800","2","3.0","","","","","","","","","",""
"Utah_236","true","","","","","","2017-11-22 07:38:07 -0800","-8","4.0","","","","","","","","","",""
"Utah_237","true","","","","","","2017-11-22 08:15:39 -0800","-4","3.5","","","","","","","","","",""
"Utah_238","true","","","","","","2017-11-27 06:19:08 -0800","-2","3.5","","","","","","","","","",""
"Utah_239","true","","","","","","2017-11-27 07:01:29 -0800","62","4.625","","","","","","","","","",""
"Utah_240","true","","","","","","2017-11-27 08:47:30 -0800","16","3.25","","","","","","","","","",""
"Utah_241","true","","","","","","2017-11-27 08:43:33 -0800","60","4.9375","","","","","","","","","",""
"Utah_242","true","","","","","","2017-11-27 15:24:02 -0800","78","3.3125","","","","","","","","","",""
"Utah_243","true","","","","","","2017-11-27 15:41:02 -0800","-4","2.625","","","","","","","","","",""
"Utah_244","true","","","","","","2017-11-28 06:24:23 -0800","10","4.625","","","","","","","","","",""
"Utah_245","true","","","","","","2017-11-28 07:07:06 -0800","32","4.3125","","","","","","","","","",""
"Utah_246","true","","","","","","2017-11-28 08:10:31 -0800","6","3.9375","","","","","","","","","",""
"Utah_247","true","","","","","","2017-11-28 14:39:12 -0800","-4","3.1875","","","","","","","","","",""
"Utah_248","true","","","","","","2017-11-28 15:35:01 -0800","32","4.5","","","","","","","","","",""
"Utah_249","true","","","","","","2017-11-28 16:29:13 -0800","24","4.1875","","","","","","","","","",""
"Utah_250","true","","","","","","2017-11-28 16:49:26 -0800","14","4.0","","","","","","","","","",""
"Utah_251","true","","","","","","2017-11-29 07:20:38 -0800","56","3.375","","","","","","","","","",""
"Utah_253","true","","","","","","2017-11-30 07:16:22 -0800","20","3.6875","","","","","","","","","",""
"Utah_254","true","","","","","","2017-11-30 08:03:53 -0800","54","4.625","","","","","","","","","",""
"Utah_257","true","","","","","","2017-12-01 08:47:37 -0800","46","4.6875","","","","","","","","","",""
"Utah_258","true","","","","","","2017-12-01 09:33:47 -0800","34","2.875","","","","","","","","","",""
"Utah_259","true","","","","","","2017-12-01 09:52:42 -0800","-8","4.0625","","","","","","","","","",""
"Utah_260","true","","","","","","2017-12-01 10:21:35 -0800","4","3.875","","","","","","","","","",""
"Utah_261","true","","","","","","2017-12-01 10:53:34 -0800","58","4.375","","","","","","","","","",""
"Utah_262","true","","","","","","2017-12-01 11:13:58 -0800","56","4.5","","","","","","","","","",""
"Utah_263","true","","","","","","2017-12-04 06:01:31 -0800","30","5.0","","","","","","","","","",""
"Utah_265","true","","","","","","2017-12-04 08:55:40 -0800","44","4.375","","","","","","","","","",""
"Utah_266","true","","","","","","2017-12-04 09:45:57 -0800","-6","4.1875","","","","","","","","","",""
"Utah_267","true","","","","","","2017-12-04 09:54:13 -0800","34","4.75","","","","","","","","","",""
"Utah_268","true","","","","","","2017-12-04 10:48:05 -0800","48","3.5625","","","","","","","","","",""
"Utah_270","true","","","","","","2017-12-05 06:02:31 -0800","60","4.25","","","","","","","","","",""
"Utah_271","true","","","","","","2017-12-05 06:17:46 -0800","24","4.625","","","","","","","","","",""
"Utah_272","true","","","","","","2017-12-05 06:58:17 -0800","-24","3.8125","","","","","","","","","",""
"Utah_273","true","","","","","","2017-12-05 07:12:10 -0800","28","3.5625","","","","","","","","","",""
"Utah_274","true","","","","","","2017-12-05 08:10:57 -0800","52","4.0","","","","","","","","","",""
"Utah_275","true","","","","","","2017-12-05 08:21:54 -0800","24","4.125","","","","","","","","","",""
"Utah_276","true","","","","","","2017-12-05 15:43:12 -0800","30","3.6875","","","","","","","","","",""
"Utah_276","true","","","","","","2017-12-05 15:40:09 -0800","26","5.625","","","","","","","","","",""
"Utah_278","true","","","","","","2017-12-05 16:28:06 -0800","4","4.375","","","","","","","","","",""
"Utah_279","true","","","","","","2017-12-06 06:13:12 -0800","28","4.375","","","","","","","","","",""
"Utah_280","true","","","","","","2017-12-05 16:50:21 -0800","10","5.625","","","","","","","","","",""
"Utah_281","true","","","","","","2017-12-06 06:16:55 -0800","56","5.0625","","","","","","","","","",""
"Utah_282","true","","","","","","2017-12-06 07:05:47 -0800","52","4.25","","","","","","","","","",""
"Utah_283","true","","","","","","2017-12-06 08:10:40 -0800","24","4.125","","","","","","","","","",""
"Utah_284","true","","","","","","2017-12-06 07:17:25 -0800","40","3.0625","","","","","","","","","",""
"Utah_285","true","","","","","","2017-12-06 08:36:03 -0800","52","4.25","","","","","","","","","",""
"Utah_286","true","","","","","","2017-12-06 15:41:26 -0800","0","3.1875","","","","","","","","","",""
"Utah_287","true","","","","","","2017-12-06 16:21:06 -0800","72","5.5625","","","","","","","","","",""
"Utah_288","true","","","","","","2017-12-07 07:04:31 -0800","0","3.5625","","","","","","","","","",""
"Utah_289","true","","","","","","2017-12-07 08:08:24 -0800","58","5.9375","","","","","","","","","",""
"Utah_290","true","","","","","","2017-12-07 14:45:15 -0800","50","4.9375","","","","","","","","","",""
"Utah_291","true","","","","","","2017-12-07 15:20:28 -0800","6","2.375","","","","","","","","","",""
"Utah_291","true","","","","","","2017-12-07 15:19:01 -0800","","","","","","","","","","","",""
"Utah_292","false","","","","","","2017-12-12 09:15:04 -0800","0","3.25","","","","","","","","","",""
"Utah_293","true","","","","","","2017-12-12 10:15:08 -0800","38","3.75","","","","","","","","","",""
"Utah_294","true","","","","","","2018-01-22 10:13:12 -0800","34","5.0","","","","","","","","","",""
"Utah_295","true","","","","","","2018-01-22 11:01:10 -0800","4","3.1875","","","","","","","","","",""
"Utah_296","true","","","","","","2018-01-24 10:28:32 -0800","32","5.0","","","","","","","","","",""
"Utah_297","true","","","","","","2018-01-23 09:14:29 -0800","38","3.8125","","","","","","","","","",""
"Utah_298","true","","","","","","2018-01-24 11:37:53 -0800","28","2.6875","","","","","","","","","",""
"Utah_299","true","","","","","","2018-01-24 11:44:21 -0800","22","5.25","","","","","","","","","",""
"Utah_300","true","","","","","","2018-01-24 19:26:36 -0800","16","5.75","","","","","","","","","",""
"Utah_301","true","","","","","","2018-01-29 10:29:48 -0800","34","3.75","","","","","","","","","",""
"Utah_303","true","","","","","","2018-01-31 11:52:29 -0800","12","3.875","","","","","","","","","",""
"Utah_304","true","","","","","","2018-02-05 10:23:46 -0800","44","4.0","","","","","","","","","",""
"Utah_305","true","","","","","","2018-02-08 10:13:39 -0800","80","5.75","","","","","","","","","",""
"Utah_306","true","","","","","","2018-02-09 11:44:04 -0800","52","4.1875","","","","","","","","","",""
"Utah_307","true","","","","","","2018-02-14 12:06:26 -0800","6","3.9375","","","","","","","","","",""
"Utah_308","true","","","","","","2018-02-16 10:24:54 -0800","72","5.1875","","","","","","","","","",""
"Utah_309","true","","","","","","2018-02-16 12:07:30 -0800","32","3.75","","","","","","","","","",""