StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q30,Q25,Q23,Q1.3,Q1.4,Q1.4_1_TEXT,Q2.1,Q2.2,Q2.3,Q2.4,Q2.4_8_TEXT,Q2.5,Q2.5_5_TEXT,Q2.6,Q2.7,Q2.8,Q26,id
2020-07-16 08:07:44,2020-07-16 08:09:08,IP Address,68.105.172.50,100,84,True,2020-07-16 08:09:09,R_eKe2O2C1OSNy7cJ,,,,,29.6475067138671875,-82.40399932861328125,anonymous,EN,templeuf,The University of Florida,,,,,Female,21,Hispanic/Latino,White,,College,,Right,english/spanish,,17653050-3727-4b71-8720-51b492af6321,
2020-07-16 10:15:19,2020-07-16 10:19:28,IP Address,73.23.213.91,100,249,True,2020-07-16 10:19:29,R_3MfiIGtx6H2nF8D,,,,,26.4696044921875,-81.813201904296875,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,College,,Right,English,,93b4bc24-8c25-4781-a882-0c8aa02d4630,
2020-07-10 06:17:34,2020-07-10 06:18:27,IP Address,162.195.114.93,94,52,False,2020-07-17 06:18:27,R_2Slu9RHLGdGjZFv,,,,,,,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Not Hispanic/Latino,White,,High School,,Right,Czech,5,,
2020-07-10 07:29:22,2020-07-10 07:30:30,IP Address,73.138.109.56,94,68,False,2020-07-17 07:30:30,R_2P1AYQhIXCQt9Re,,,,,,,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,"english ",,,
2020-07-14 08:02:16,2020-07-14 08:04:55,IP Address,184.170.72.47,94,158,False,2020-07-21 08:05:13,R_1n18NimeOuOKrJH,,,,,,,anonymous,EN,templeuf,The University of Florida,,,,,Male,21,Hispanic/Latino,White,,College,,Right,English,,,
2020-07-21 08:02:39,2020-07-21 08:07:18,IP Address,130.44.57.63,100,278,True,2020-07-21 08:07:18,R_2rGR7VNpahnWFKx,,,,,26.266204833984375,-81.716400146484375,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,White,,College,,Left,English,,972a4fb5-7887-49f1-9575-979b45d9a1d6,
2020-07-12 11:49:08,2020-07-14 09:40:58,IP Address,24.136.54.240,94,165109,False,2020-07-21 09:41:00,R_12ma4LwpwMEaZmu,,,,,,,anonymous,EN,templeuf,,,,,,,,,,,,,,,,,
2020-07-22 10:06:11,2020-07-22 10:08:35,IP Address,24.254.113.152,100,144,True,2020-07-22 10:08:36,R_2t5KlhmJicwb3sG,,,,,30.3737030029296875,-87.31259918212890625,anonymous,EN,templeuf,The University of Florida,,,,,Male,19,Hispanic/Latino,White,,High School,,Right,Spanish,5,291f642a-e7e2-42f9-a9c5-3c95c921e57a,
2020-07-23 07:59:55,2020-07-23 08:04:46,IP Address,98.230.116.62,100,291,True,2020-07-23 08:04:46,R_0OZXC7MAWIpWDJL,,,,,30.4907989501953125,-84.31580352783203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,20,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,"b243b2d5-7a68-489c-a10c-5b3fc2c7865d ",
2020-07-20 10:37:12,2020-07-23 10:16:53,IP Address,104.0.169.103,100,257980,True,2020-07-23 10:16:53,R_1gCthEmw6TnyMZZ,,,,,26.1522064208984375,-80.31529998779296875,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,College,,Left,English,,8b2d476b-d74a-42a5-aa6e-d4fa07b02a9b,43710
2020-07-23 10:55:58,2020-07-23 11:48:28,IP Address,98.110.89.166,100,3150,True,2020-07-23 11:48:29,R_3EhCEp65xsDySZa,,,,,40.3343963623046875,-74.7949981689453125,anonymous,EN,templeuf,Temple University,practice,I am at least 18 years of age.,I Accept.,ebj,,,,,,,,,,,40bf0f47-1487-42f1-ba59-bb0d4ca746a1,
2020-07-21 13:11:05,2020-07-21 13:13:49,IP Address,45.30.198.149,94,163,False,2020-07-28 13:14:58,R_3gOByX8kJqj4Ctl,,,,,,,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,Asian,,High School,,Right,Telugu,4,,
2020-07-30 08:02:45,2020-07-30 08:05:58,IP Address,47.18.157.119,100,192,True,2020-07-30 08:05:58,R_2Yl95hPjMsPLKBr,,,,,40.8430938720703125,-73.2808990478515625,anonymous,EN,templeuf,The University of Florida,,,,,Male,19,Not Hispanic/Latino,White,,High School,,Right,english,,"d6a6db2b-aeb3-44b6-b04a-4710eaa8ba36 ",
2020-07-23 08:41:45,2020-07-23 08:43:18,IP Address,69.253.247.24,22,92,False,2020-07-30 08:43:29,R_3R2yxsAf9i0GWoS,,,,,,,anonymous,EN,templeuf,Temple University,,,,,,,,,,,,,,,,
2020-08-04 08:06:41,2020-08-04 08:16:57,IP Address,71.52.192.249,100,616,True,2020-08-04 08:16:58,R_2PtayppiM6F2K5d,,,,,29.199493408203125,-82.0858001708984375,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,87e406b4-6551-42e2-9588-bb657a5535af,
2020-08-04 08:22:54,2020-08-04 08:24:28,IP Address,71.52.192.249,100,94,True,2020-08-04 08:24:28,R_1IAXX3WbXVZrnrw,,,,,29.199493408203125,-82.0858001708984375,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,575696c7-9132-43cf-9bf1-3ef385a7445f,
2020-07-28 09:59:51,2020-07-28 10:02:14,IP Address,76.101.180.202,94,142,False,2020-08-04 10:02:42,R_2eQie2vmfAjIzz0,,,,,,,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,White,,High School,,Right,Dutch,2-3,,
2020-08-04 10:08:08,2020-08-04 10:11:07,IP Address,174.192.135.192,100,178,True,2020-08-04 10:11:08,R_3n03ssiu09nEgS5,,,,,42.3647003173828125,-88.14990234375,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,White,,College,,Right,english,,44ca8b1b-e286-4e9a-9495-0ace509a8d30,
2020-08-05 10:11:59,2020-08-05 10:16:51,IP Address,76.229.164.218,100,291,True,2020-08-05 10:16:51,R_D0jJIKJlnWCoK8F,,,,,25.597198486328125,-80.4048004150390625,anonymous,EN,templeuf,The University of Florida,,,,,Male,20,Hispanic/Latino,White,,College,,Right,Spanish,4,a4fe06ac-16ba-4514-a860-3a6de6054d1e,
2020-08-05 12:35:53,2020-08-05 13:51:39,IP Address,98.165.69.114,100,4545,True,2020-08-05 13:51:39,R_3QWb8gDFaRsq1JL,,,,,33.6194000244140625,-111.955596923828125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,833aa246-fffc-4f3d-bce6-323afd86f5f5,
2020-08-06 07:59:00,2020-08-06 08:03:33,IP Address,99.119.200.90,100,272,True,2020-08-06 08:03:33,R_2pQOH92us2QVYt1,,,,,26.6239013671875,-80.0948028564453125,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,5b5beb6f-6901-4c62-be49-825512534ee4,
2020-08-06 10:00:02,2020-08-06 10:04:04,IP Address,49.216.205.241,100,242,True,2020-08-06 10:04:04,R_2YKZBfpizlzcKHk,,,,,25.0395050048828125,121.468902587890625,anonymous,EN,templeuf,The University of Florida,,,,,Female,20,Not Hispanic/Latino,Asian,,High School,,Right,Mandarine,10,2d1b13ee-66f3-429b-b0d1-2ce796310753,
2020-08-10 10:10:25,2020-08-10 11:24:42,IP Address,173.2.210.118,94,4457,False,2020-08-17 11:25:18,R_RmMl6gzOSLR58eB,,,,,,,anonymous,EN,templeuf,The University of Florida,,,,,Male,20,Not Hispanic/Latino,White,,High School,,Right,english,,,
2020-08-10 14:30:56,2020-08-10 14:38:25,IP Address,35.137.191.19,94,449,False,2020-08-17 14:38:37,R_1j982aOMEFQTUqv,,,,,,,anonymous,EN,templeuf,The University of Florida,,,,,Male,21,Not Hispanic/Latino,White,,High School,,Right,English,,,
2020-09-15 06:13:17,2020-09-15 06:16:08,IP Address,128.227.1.39,100,171,True,2020-09-15 06:16:09,R_1Ed5j3OBQ8ZukP0,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,d46d4806-a974-4bb4-a388-9274750b4d07,
2020-09-15 11:25:59,2020-09-15 11:26:58,Survey Preview,,100,59,True,2020-09-15 11:26:59,R_bvnVIDHs4pguKZ3,,,,,29.6475067138671875,-82.40399932861328125,preview,EN,sdfsdfsdfsdf,The University of Florida,,,,,Male,,,,,,,,,,,
2020-09-16 07:07:11,2020-09-16 07:09:52,IP Address,128.227.1.41,100,161,True,2020-09-16 07:09:52,R_2TpblkMQEF6n0tW,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Hispanic/Latino,White,,High School,,Left,spanish,3,ae8441a4-e82c-49c3-9140-685b1818a758,
2020-09-16 11:06:22,2020-09-16 11:09:47,IP Address,128.227.1.40,100,205,True,2020-09-16 11:09:47,R_2atQO02gUHeDDwj,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,a1168d22-aa41-463a-98a3-ded2b8d10e2a,
2020-09-17 08:02:53,2020-09-17 08:06:31,IP Address,128.227.1.38,100,218,True,2020-09-17 08:06:32,R_2aDHmQaE7wGEToJ,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,Black/African American,,High School,,Left,English,,e5a06387-25d0-4aa7-b8a1-cf4234791f33,
2020-09-17 10:00:44,2020-09-17 10:02:44,IP Address,70.171.33.155,100,119,True,2020-09-17 10:02:44,R_3hlj29Jph5rV14m,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,20,Not Hispanic/Latino,White,,High School,,Left,English,,0b4711b3-9099-43bf-b2ce-1f544330b56d,
2020-09-17 12:02:56,2020-09-17 12:06:17,IP Address,99.146.232.235,100,201,True,2020-09-17 12:06:18,R_3lFy0BHt1WfISfR,,,,,28.3939056396484375,-81.421600341796875,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,Asian,,High School,,Right,Hindi,4,d1c7c3b3-2c87-462b-b504-cda5db9c0ce0,
2020-09-18 07:21:32,2020-09-18 07:24:01,IP Address,98.180.248.121,100,148,True,2020-09-18 07:24:01,R_1F5uRbvHagkVoXW,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,White,,High School,,Right,english,,3fa0ed80-aff6-4841-8d0d-ae000bae4eb7,
2020-09-18 09:10:07,2020-09-18 09:17:54,IP Address,71.162.254.248,100,466,True,2020-09-18 09:17:54,R_YYMoah1KVQxwUIp,,,,,39.9232940673828125,-75.23130035400390625,anonymous,EN,Templeuf,Temple University,38,I am at least 18 years of age.,I Accept.,SW,Female,19,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,713e9dca-e17d-44ef-b5a2-a3f41d92be9f,
2020-09-18 10:15:51,2020-09-18 10:18:20,Survey Preview,,100,148,True,2020-09-18 10:18:21,R_1GTwzTK7Xy65sa6,,,,,29.6515045166015625,-82.34929656982421875,preview,EN,templeuf,The University of Florida,,,,,Female,21,Not Hispanic/Latino,White,,High School,,Left,English,,fdc34ac3-fe86-409b-87a2-c5f627fc0188,
2020-09-18 12:03:53,2020-09-18 12:06:12,IP Address,128.227.1.38,100,138,True,2020-09-18 12:06:12,R_2TmZi8gyCZbRmnn,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,6db1e537-66a3-437f-8ae8-752286cc5806,
2020-09-15 12:24:40,2020-09-15 12:28:13,IP Address,69.253.247.24,94,213,False,2020-09-22 12:28:15,R_3eh8w7jsBJpwFIy,,,,,,,anonymous,EN,templeuf,Temple University,test,I am at least 18 years of age.,I Accept.,SK,Female,21,Hispanic/Latino,American Indian/Alaskan Native,,College,,Left,English,,,
2020-09-10 12:49:27,2020-09-17 08:02:16,IP Address,24.136.54.240,94,587569,False,2020-09-24 08:02:18,R_3KSAu8l3ksKnlWT,,,,,,,anonymous,EN,templeuf,The University of Florida,,,,,Female,21,Hispanic/Latino,White,,High School,,Right,english,,,
2020-09-24 08:06:05,2020-09-24 08:09:00,IP Address,68.227.78.218,100,174,True,2020-09-24 08:09:00,R_2CcSgV1lnZ5XkTm,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Hispanic/Latino,White,,High School,,Right,English,,30d13979-dada-410d-86c9-fb704e7a04a8,
2020-09-24 10:09:29,2020-09-24 10:14:09,IP Address,73.112.73.72,100,279,True,2020-09-24 10:14:09,R_3CUGni2NqHW5k0l,,,,,40.7238006591796875,-74.22930145263671875,anonymous,EN,templeuf,Temple University,45,I am at least 18 years of age.,I Accept.,ns,Female,18,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,"cdf4f735-3aa0-47c9-9c98-b474b4ada4bd  ",
2020-09-24 10:18:58,2020-09-24 10:21:32,IP Address,128.227.1.41,100,154,True,2020-09-24 10:21:33,R_XgGYcfAB5jBgzYJ,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Hispanic/Latino,Black/African American,,High School,,Right,English,,6437645d-9a32-48ee-8ef2-4437967ceeb5,
2020-09-24 12:03:45,2020-09-24 12:06:44,IP Address,128.227.1.40,100,178,True,2020-09-24 12:06:44,R_3D6KkYvjD9G8Dn1,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,College,,Right,English,,"0866cc9c-f28c-41f9-8360-9bcc40c41259 ",
2020-09-24 13:06:54,2020-09-24 13:10:06,IP Address,50.232.137.26,100,192,True,2020-09-24 13:10:07,R_3shb8E68jMtaY6A,,,,,39.973907470703125,-75.145599365234375,anonymous,EN,templeuf,Temple University,47,I am at least 18 years of age.,I Accept.,CS,Female,33,Hispanic/Latino,White,,High School,,Right,English,,0d244487-427c-4864-811d-d2101947484d,
2020-09-25 08:00:43,2020-09-25 08:03:14,IP Address,128.227.1.39,100,150,True,2020-09-25 08:03:14,R_2tLICf3F4m4CQvh,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,8ab2b1ed-7548-49a7-b720-4b8fabe09bc6  Pilot subject,
2020-09-25 09:04:17,2020-09-25 09:06:30,IP Address,68.80.61.196,100,133,True,2020-09-25 09:06:30,R_2c6lRpW754fPdZt,,,,,39.966796875,-75.1511993408203125,anonymous,EN,templeuf,,,,,,Female,20,Not Hispanic/Latino,Asian,,High School,,Right,Chinese,14,e8e6dd98-81aa-4cb3-bf07-79b711ed2e03,
2020-09-25 09:04:46,2020-09-25 09:08:21,IP Address,73.81.11.96,100,215,True,2020-09-25 09:08:22,R_TkgVDOT8rtVbfR7,,,,,40.100494384765625,-75.37090301513671875,anonymous,EN,templeuf,Temple University,0,I am at least 18 years of age.,I Accept.,M.N.M.,Female,18,Not Hispanic/Latino,Asian,,High School,,Right,English,,85de446c-8a08-47d8-919c-4ec9881c9b44,
2020-09-25 11:02:43,2020-09-25 11:06:04,IP Address,128.227.5.236,100,200,True,2020-09-25 11:06:04,R_QmJhSaEkdotfpPr,,,,,29.6515045166015625,-82.34929656982421875,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,6396c8da-c288-485a-8062-09a6d471931d,
2020-09-25 11:05:11,2020-09-25 11:11:20,IP Address,173.49.62.143,100,368,True,2020-09-25 11:11:20,R_3iXxwRPCxplSmQw,,,,,39.9810028076171875,-75.16989898681640625,anonymous,EN,templeuf,Temple University,0048,I am at least 18 years of age.,I Accept.,jd,Female,21,Not Hispanic/Latino,More Than One Race,,High School,,Right,english,,4827511f-a2b3-4e9b-b92b-a363756d509c,
2020-09-25 13:29:38,2020-09-25 13:35:44,IP Address,76.98.31.131,100,366,True,2020-09-25 13:35:45,R_3fjiRfWe1Vm1Es0,,,,,39.966400146484375,-75.1685028076171875,anonymous,EN,templeuf,Temple University,test,I am at least 18 years of age.,I Accept.,SH,Female,22,Not Hispanic/Latino,White,,High School,,Right,English,,"0078d5f8-963d-433b-9613-381e56c7c641 ",
2020-09-28 15:11:05,2020-09-28 15:16:33,IP Address,129.32.225.6,100,328,True,2020-09-28 15:16:34,R_1MRGFP6cmSgAvx8,,,,,39.973907470703125,-75.145599365234375,anonymous,EN,templeuf,Temple University,0054,I am at least 18 years of age.,I Accept.,AL,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,"8c2cc2df-2217-4b49-bc83-0bcf7aede3b8  ",
2020-09-29 13:08:26,2020-09-29 13:16:09,IP Address,208.54.40.189,100,462,True,2020-09-29 13:16:10,R_3q9AeenP8N32ZuN,,,,,42.3672943115234375,-83.13289642333984375,anonymous,EN,templeuf,Temple University,0057,I am at least 18 years of age.,I Accept.,MA,Male,18,Not Hispanic/Latino,Black/African American,,High School,,Left,English,,"d1009dcc-6823-4bd6-8605-e20a896057c9  ",
2020-09-30 08:05:25,2020-09-30 08:10:57,IP Address,24.246.236.111,100,331,True,2020-09-30 08:10:58,R_1OCApfK7iES6ivN,,,,,40.7079010009765625,-75.15070343017578125,anonymous,EN,templeuf,Temple University,58,I am at least 18 years of age.,I Accept.,JR,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,"7c0837cf-a498-4a3d-8a7d-ad28b19b94a7  ",
2020-09-30 08:13:05,2020-09-30 08:14:53,IP Address,24.246.236.111,100,107,True,2020-09-30 08:14:53,R_1giKy2prATUCR4c,,,,,40.7079010009765625,-75.15070343017578125,anonymous,EN,templeuf,Temple University,58,I am at least 18 years of age.,I Accept.,JR,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,"57e04bdc-ff99-459e-a476-9dc2e4e8ced5  ",
2020-09-30 09:59:18,2020-09-30 10:04:42,IP Address,73.13.243.7,100,323,True,2020-09-30 10:04:43,R_2OOKbXtZmWHGWRz,,,,,40.3800048828125,-75.27179718017578125,anonymous,EN,templeuf,Temple University,59,I am at least 18 years of age.,I Accept.,DD,Female,26,Not Hispanic/Latino,White,,College,,Right,English,,a0505a36-a5f8-48cd-ac1f-450e25236e09,
2020-09-30 11:10:52,2020-09-30 11:13:18,IP Address,98.180.253.102,100,145,True,2020-09-30 11:13:18,R_1Nfwq1HqL5fwkLD,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Hispanic/Latino,White,,High School,,Right,English,,6367b514-db46-4e80-a142-9deb4311bf76,
2020-09-30 13:03:39,2020-09-30 13:07:01,IP Address,50.235.150.99,100,202,True,2020-09-30 13:07:01,R_116FjVvWc56l6eQ,,,,,39.9810028076171875,-75.16989898681640625,anonymous,EN,templeuf,Temple University,0060,I am at least 18 years of age.,I Accept.,AD,Male,20,Not Hispanic/Latino,White,,High School,,Right,English,,"bbedc7c2-3caa-428e-b7ef-fa56023fba70 ",
2020-09-30 13:06:15,2020-09-30 13:08:58,IP Address,71.224.255.246,100,163,True,2020-09-30 13:08:59,R_3J4R9lqyUa25Zy1,,,,,39.9340057373046875,-75.160003662109375,anonymous,EN,templeuf,Temple University,62,I am at least 18 years of age.,I Accept.,pd,Male,19,Not Hispanic/Latino,White,,High School,,Left,english,,712e2f2f-53dc-4b4b-b123-19560997ff3c,
2020-10-01 07:02:46,2020-10-01 07:06:31,IP Address,98.219.89.130,100,225,True,2020-10-01 07:06:31,R_2fDvTBjc4BpUtia,,,,,25.869598388671875,-80.3072967529296875,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Hispanic/Latino,More Than One Race,,High School,,Right,Spanish,12,"1de21aa7-3d5d-47f2-9fc7-d42816b9e966  ",
2020-10-01 09:02:59,2020-10-01 09:06:01,IP Address,76.124.154.165,100,182,True,2020-10-01 09:06:02,R_2S1zVVOTrkpcuBv,,,,,40.14349365234375,-75.377899169921875,anonymous,EN,templeuf,Temple University,62,I am at least 18 years of age.,I Accept.,F.L,Female,20,Not Hispanic/Latino,White,,High School,,Right,English,,5466222e-a308-4132-9106-400e27dd63fc,
